Product_ID,Date,Product_Name,Brand,Category,Gender,Material,Size,Rating,Reviews_Count,Stock_Quantity,Sales_Quantity,Competitor_Price,Discount_Percentage,Original_Price,Price
PROD_1001,2024-01-05,Nike Air Zoom Pegasus,Nike,Running,Men,Mesh,9,4.5,320,120,45,5200.00,15,5500.00,4675.00
PROD_1002,2024-01-08,Adidas Ultraboost Light,Adidas,Running,Men,Knit,10,4.7,480,95,62,5800.00,20,6200.00,4960.00
PROD_1003,2024-01-12,Puma Smash v2 Sneaker,Puma,Casual,Unisex,Leather,8,4.2,210,140,38,2400.00,25,2800.00,2100.00
PROD_1004,2024-01-15,Reebok Club C 85,Reebok,Sneakers,Women,Leather,7,4.3,185,85,29,3200.00,10,3500.00,3150.00
PROD_1005,2024-01-19,Skechers Go Walk Max,Skechers,Walking,Men,Mesh,9,4.4,540,160,75,3100.00,30,3800.00,2660.00
PROD_1006,2024-01-22,Bata Comfit Formal Derby,Bata,Formal,Men,Leather,8,3.9,95,200,40,1600.00,15,1800.00,1530.00
PROD_1007,2024-01-26,Woodland Oiled Leather Trek,Woodland,Boots,Men,Leather,9,4.6,390,70,32,4100.00,20,4500.00,3600.00
PROD_1008,2024-01-30,Asics Gel-Kayano 30,Asics,Running,Men,Mesh,10,4.8,610,65,58,6800.00,12,7200.00,6336.00
PROD_1009,2024-02-02,Under Armour HOVR Phantom,Under Armour,Training,Men,Knit,11,4.4,170,80,27,5600.00,25,6000.00,4500.00
PROD_1010,2024-02-06,Campus Rodeo Pro,Campus,Running,Men,Mesh,8,4.0,430,250,88,1200.00,30,1500.00,1050.00
PROD_1011,2024-02-10,Nike Court Vision Low,Nike,Sneakers,Unisex,Synthetic,9,4.3,310,130,50,3900.00,18,4200.00,3444.00
PROD_1012,2024-02-14,Adidas Stan Smith Classic,Adidas,Sneakers,Women,Leather,6,4.6,520,110,48,4600.00,15,4800.00,4080.00
PROD_1013,2024-02-18,Puma Deviate Nitro 2,Puma,Running,Men,Mesh,10,4.5,145,55,34,5100.00,20,5500.00,4400.00
PROD_1014,2024-02-21,Reebok Nano X3,Reebok,Training,Men,Knit,9,4.4,260,90,36,4600.00,22,4900.00,3822.00
PROD_1015,2024-02-25,Skechers D'Lites Memory Foam,Skechers,Casual,Women,Synthetic,7,4.1,380,115,42,3400.00,35,4000.00,2600.00
PROD_1016,2024-03-01,Bata Ambassador Oxford,Bata,Formal,Men,Leather,8,3.8,80,180,25,1900.00,10,2100.00,1890.00
PROD_1017,2024-03-05,Woodland Nubuck Chukka,Woodland,Boots,Men,Suede,10,4.5,290,75,28,4300.00,18,4600.00,3772.00
PROD_1018,2024-03-08,Asics GT-2000 12,Asics,Running,Women,Mesh,7,4.7,340,80,41,5400.00,15,5800.00,4930.00
PROD_1019,2024-03-12,Under Armour Charged Assert,Under Armour,Running,Men,Mesh,10,4.2,280,105,44,3800.00,28,4200.00,3024.00
PROD_1020,2024-03-16,Campus Hurricane Sneaker,Campus,Sneakers,Men,Synthetic,8,3.9,350,220,70,1100.00,25,1300.00,975.00
PROD_1021,2024-03-20,Nike Revolution 6 Next,Nike,Running,Men,Mesh,9,4.1,620,190,85,2800.00,20,3200.00,2560.00
PROD_1022,2024-03-24,Adidas Forum Low Retro,Adidas,Sneakers,Unisex,Leather,9,4.5,310,95,37,4700.00,15,5000.00,4250.00
PROD_1023,2024-03-27,Puma RS-X Efekt,Puma,Sneakers,Men,Mesh,10,4.3,275,85,33,4800.00,30,5400.00,3780.00
PROD_1024,2024-03-31,Reebok Floatride Energy 5,Reebok,Running,Women,Mesh,6,4.6,190,65,30,4200.00,18,4600.00,3772.00
PROD_1025,2024-04-03,Skechers Arch Fit Titan,Skechers,Walking,Men,Knit,9,4.5,410,130,55,3600.00,25,4200.00,3150.00
PROD_1026,2024-04-07,Bata Hush Puppies Slip-on,Bata,Casual,Men,Leather,8,4.2,160,140,35,2600.00,12,2900.00,2552.00
PROD_1027,2024-04-11,Woodland Explorer Sandal,Woodland,Casual,Men,Leather,8,4.3,220,110,40,2400.00,15,2700.00,2295.00
PROD_1028,2024-04-14,Asics Novablast 4,Asics,Running,Men,Mesh,10,4.8,490,60,52,6900.00,10,7400.00,6660.00
PROD_1029,2024-04-18,Under Armour Lockdown 6,Under Armour,Basketball,Men,Synthetic,11,4.3,210,90,31,3900.00,20,4400.00,3520.00
PROD_1030,2024-04-22,Campus North Plus,Campus,Running,Women,Mesh,6,3.8,290,210,65,950.00,35,1200.00,780.00
PROD_1031,2024-04-26,Nike Air Max 270,Nike,Sneakers,Men,Knit,9,4.7,850,75,70,7800.00,15,8500.00,7225.00
PROD_1032,2024-04-30,Adidas Terrex Trail Rider,Adidas,Boots,Men,Synthetic,10,4.4,180,80,26,4800.00,22,5200.00,4056.00
PROD_1033,2024-05-04,Puma Future Rider Play,Puma,Casual,Unisex,Nylon,8,4.2,340,115,44,3200.00,28,3800.00,2736.00
