Product_ID,Date,Product_Name,Brand,Category,Gender,Material,Size,Rating,Reviews_Count,Stock_Quantity,Sales_Quantity,Competitor_Price,Discount_Percentage,Original_Price,Price
PROD_1001,2024-01-05,Nike Air Zoom Pegasus,Nike,Running,Men,Mesh,9,4.5,320,120,45,5200.0,15,5500.0,4675.0
PROD_1002,2024-01-08,Adidas Ultraboost Light,Adidas,Running,Men,Knit,10,4.7,480,95,62,5800.0,20,6200.0,4960.0
PROD_1003,2024-01-12,Puma Smash v2 Sneaker,Puma,Casual,Unisex,Leather,8,4.2,210,140,38,2400.0,25,2800.0,2100.0
PROD_1004,2024-01-15,Reebok Club C 85,Reebok,Sneakers,Women,Leather,7,4.3,185,85,29,3200.0,10,3500.0,3150.0
PROD_1005,2024-01-19,Skechers Go Walk Max,Skechers,Walking,Men,Mesh,9,4.4,540,160,75,3100.0,30,3800.0,2660.0
PROD_1006,2024-01-22,Bata Comfit Formal Derby,Bata,Formal,Men,Leather,8,3.9,95,200,40,1600.0,15,1800.0,1530.0
PROD_1007,2024-01-26,Woodland Oiled Leather Trek,Woodland,Boots,Men,Leather,9,4.6,390,70,32,4100.0,20,4500.0,3600.0
PROD_1008,2024-01-30,Asics Gel-Kayano 30,Asics,Running,Men,Mesh,10,4.8,610,65,58,6800.0,12,7200.0,6336.0
PROD_1009,2024-02-02,Under Armour HOVR Phantom,Under Armour,Training,Men,Knit,11,4.4,170,80,27,5600.0,25,6000.0,4500.0
PROD_1010,2024-02-06,Campus Rodeo Pro,Campus,Running,Men,Mesh,8,4.0,430,250,88,1200.0,30,1500.0,1050.0
PROD_1011,2024-02-10,Nike Court Vision Low,Nike,Sneakers,Unisex,Synthetic,9,4.3,310,130,50,3900.0,18,4200.0,3444.0
PROD_1012,2024-02-14,Adidas Stan Smith Classic,Adidas,Sneakers,Women,Leather,6,4.6,520,110,48,4600.0,15,4800.0,4080.0
PROD_1013,2024-02-18,Puma Deviate Nitro 2,Puma,Running,Men,Mesh,10,4.5,145,55,34,5100.0,20,5500.0,4400.0
PROD_1014,2024-02-21,Reebok Nano X3,Reebok,Training,Men,Knit,9,4.4,260,90,36,4600.0,22,4900.0,3822.0
PROD_1015,2024-02-25,Skechers D'Lites Memory Foam,Skechers,Casual,Women,Synthetic,7,4.1,380,115,42,3400.0,35,4000.0,2600.0
PROD_1016,2024-03-01,Bata Ambassador Oxford,Bata,Formal,Men,Leather,8,3.8,80,180,25,1900.0,10,2100.0,1890.0
PROD_1017,2024-03-05,Woodland Nubuck Chukka,Woodland,Boots,Men,Suede,10,4.5,290,75,28,4300.0,18,4600.0,3772.0
PROD_1018,2024-03-08,Asics GT-2000 12,Asics,Running,Women,Mesh,7,4.7,340,80,41,5400.0,15,5800.0,4930.0
PROD_1019,2024-03-12,Under Armour Charged Assert,Under Armour,Running,Men,Mesh,10,4.2,280,105,44,3800.0,28,4200.0,3024.0
PROD_1020,2024-03-16,Campus Hurricane Sneaker,Campus,Sneakers,Men,Synthetic,8,3.9,350,220,70,1100.0,25,1300.0,975.0
PROD_1021,2024-03-20,Nike Revolution 6 Next,Nike,Running,Men,Mesh,9,4.1,620,190,85,2800.0,20,3200.0,2560.0
PROD_1022,2024-03-24,Adidas Forum Low Retro,Adidas,Sneakers,Unisex,Leather,9,4.5,310,95,37,4700.0,15,5000.0,4250.0
PROD_1023,2024-03-27,Puma RS-X Efekt,Puma,Sneakers,Men,Mesh,10,4.3,275,85,33,4800.0,30,5400.0,3780.0
PROD_1024,2024-03-31,Reebok Floatride Energy 5,Reebok,Running,Women,Mesh,6,4.6,190,65,30,4200.0,18,4600.0,3772.0
PROD_1025,2024-04-03,Skechers Arch Fit Titan,Skechers,Walking,Men,Knit,9,4.5,410,130,55,3600.0,25,4200.0,3150.0
PROD_1026,2024-04-07,Bata Hush Puppies Slip-on,Bata,Casual,Men,Leather,8,4.2,160,140,35,2600.0,12,2900.0,2552.0
PROD_1027,2024-04-11,Woodland Explorer Sandal,Woodland,Casual,Men,Leather,8,4.3,220,110,40,2400.0,15,2700.0,2295.0
PROD_1028,2024-04-14,Asics Novablast 4,Asics,Running,Men,Mesh,10,4.8,490,60,52,6900.0,10,7400.0,6660.0
PROD_1029,2024-04-18,Under Armour Lockdown 6,Under Armour,Basketball,Men,Synthetic,11,4.3,210,90,31,3900.0,20,4400.0,3520.0
PROD_1030,2024-04-22,Campus North Plus,Campus,Running,Women,Mesh,6,3.8,290,210,65,950.0,35,1200.0,780.0
PROD_1031,2024-04-26,Nike Air Max 270,Nike,Sneakers,Men,Knit,9,4.7,850,75,70,7800.0,15,8500.0,7225.0
PROD_1032,2024-04-30,Adidas Terrex Trail Rider,Adidas,Boots,Men,Synthetic,10,4.4,180,80,26,4800.0,22,5200.0,4056.0
PROD_1033,2024-05-04,Puma Future Rider Play,Puma,Casual,Unisex,Nylon,8,4.2,340,115,44,3200.0,28,3800.0,2736.0
PROD_1034,2024-05-08,Reebok Zig Dynamica 4,Reebok,Running,Men,Mesh,9,4.1,230,105,38,3400.0,30,4200.0,2940.0
PROD_1035,2024-05-12,Skechers Uno Stand on Air,Skechers,Sneakers,Women,Synthetic,7,4.6,560,95,50,4100.0,18,4600.0,3772.0
PROD_1036,2024-05-15,Bata Red Label Stiletto,Bata,Formal,Women,Synthetic,6,3.7,110,130,28,2100.0,25,2600.0,1950.0
PROD_1037,2024-05-19,Woodland Heavy Duty Boot,Woodland,Boots,Men,Leather,9,4.5,410,65,24,4700.0,15,5100.0,4335.0
PROD_1038,2024-05-23,Asics Gel-Cumulus 25,Asics,Running,Men,Mesh,10,4.6,380,70,45,5800.0,15,6200.0,5270.0
PROD_1039,2024-05-27,Under Armour Project Rock 6,Under Armour,Training,Men,Knit,10,4.8,320,50,35,7100.0,10,7600.0,6840.0
PROD_1040,2024-05-31,Campus First Casual,Campus,Casual,Men,Canvas,8,4.0,460,260,82,850.0,30,1100.0,770.0
PROD_1041,2024-06-04,Nike Dunk Low Retro,Nike,Sneakers,Unisex,Leather,9,4.8,920,45,65,7200.0,5,7500.0,7125.0
PROD_1042,2024-06-08,Adidas Galaxy 6,Adidas,Running,Men,Mesh,9,4.1,390,170,58,2700.0,32,3400.0,2312.0
PROD_1043,2024-06-12,Puma Velocity Nitro 2,Puma,Running,Women,Mesh,7,4.5,210,85,34,4400.0,20,4900.0,3920.0
PROD_1044,2024-06-16,Reebok Classic Leather,Reebok,Sneakers,Men,Leather,8,4.6,630,90,47,4200.0,15,4500.0,3825.0
PROD_1045,2024-06-20,Skechers Max Cushioning,Skechers,Running,Men,Mesh,10,4.5,350,85,39,4700.0,22,5300.0,4134.0
PROD_1046,2024-06-24,Bata Power Walker,Bata,Walking,Men,Mesh,8,4.0,240,190,52,1400.0,20,1700.0,1360.0
PROD_1047,2024-06-28,Woodland Casual Sneaker,Woodland,Casual,Men,Suede,8,4.2,180,100,30,3100.0,25,3700.0,2775.0
PROD_1048,2024-07-02,Asics Gel-Venture 9,Asics,Running,Men,Synthetic,9,4.4,420,110,48,3900.0,18,4300.0,3526.0
PROD_1049,2024-07-06,Under Armour Micro G Pursuit,Under Armour,Running,Women,Mesh,7,4.3,270,120,40,3300.0,25,3900.0,2925.0
PROD_1050,2024-07-10,Campus King Pro,Campus,Running,Men,Mesh,9,3.9,380,240,76,1050.0,30,1350.0,945.0
